title, content, star, about, time, classification, author
有趣网址之家2021纪念品领取方法,很早前就有想过回馈喜欢有趣网址之家的朋友们，前几天自己定制了一款鸭舌帽，拿到手里的效果还不错，想着当作纪念品送给大家挺合适的，希望你们也能喜欢！,4.40,[],2021-11-26,",公告帮助,2021年,纪念品",songslee

Emoji表情混编器- Emojimix,Emoji再一次被无聊的人玩弄了。。。，从而生成全新的未知含义表情。。。,5.00,['https://tikolu.net/emojimix/'],2021-12-06,",千奇百怪,emoji,混编,表情",songslee

神奇的图片橡皮擦-Cleanup pictures,一定会让你惊呼牛逼的网站！，以后，再也不用求大神们将你后面的怪蜀黍P掉了。。。,5.00,['https://cleanup.pictures/'],2021-12-01,",在线应用,P图,图片处理,在线工具",songslee

在线体验鱿鱼游戏-Squid Game,奈菲的这部爆款剧《鱿鱼游戏》确实很经典，而今天的这个网站正好，淘汰制的游戏流程，玩起来和电视剧一样刺激！,4.17,['https://squid-game.io/'],2021-11-29,",轻松好玩,还原,鱿鱼游戏",songslee

超多功能计算器-Omni Calculator,虽然说计算器是个很日常的东西，实体的计算器、手机的计算器、电脑系统里自带的计算器，着实没有必要在网页里使用了。但是今天介绍的这么一堆计算器呢，胜在了数量之上。在网站里，可，涵盖各行各业的不同需求。虽然说网站是英文的，但是网站设计的很漂亮，可以看看。,4.00,['https://www.omnicalculator.com/'],2021-11-24,",千奇百怪,多功能,大全,计算器",Zesty

深度学习语音合成-FakeYou,语音合成不是什么新鲜东西，但是一个网站里居然有800多个语音模型可供使用？当然，英文居多，中文应该是不支持。,3.75,['https://fakeyou.com/'],2021-11-22,",千奇百怪,伪装,文本朗读",Zesty

根据文字描述生成的AI图片-CogView,只有你想不到的，没有它生成不出来的。。。，浓郁的AI画风图片看起来虽然怪怪的，但基本都符合你的要求！,4.00,['https://wudao.aminer.cn/CogView/'],2021-11-17,",千奇百怪,AI,图片生成,文字",songslee

在线HTML5版魔塔小游戏-H5mota,玩家自制才最好玩！，除了经典版50层魔塔，更多的是由玩家自制，内容丰富的变异魔塔。。。,3.83,['https://h5mota.com/'],2021-11-15,",轻松好玩,HTML5,小游戏,魔塔",songslee

情侣约会观影推荐指南-Date Night Movies,功能很棒，但不太好用。。。，之所以说不太好用，是因为对华语电影的推荐不是很准确，可惜可惜！,4.17,['https://datenightmovies.com/'],2021-11-10,",千奇百怪,情侣,电影,约会",songslee

国外小游戏网站合集VIII-Poki,一些让人中毒的小游戏！，无聊的时候到这里玩玩，挺解乏的！,4.30,['https://poki.com/'],2021-11-08,",轻松好玩,合集,小游戏",songslee

有趣的双影积木-Sombras,独特的艺术表现形式！，同一个物体，分别从两个角度投光，可以看到两个不同的影子（废话），而你可以自定义这两个影子哦！,4.82,['https://sombras.app/'],2021-11-03,",千奇百怪,双影,积木,艺术",songslee

唐诗不止300首-全唐诗,专研唐诗必备！，共计900卷，通过搜索诗词或诗人，可以很方便的找到你想要的唐诗！,4.83,['https://www.quantangshi.cn/'],2021-11-01,",公益宣传,合集,唐诗",songslee

在favicon图标上玩PONG游戏-Favicon Pong,考验你的小眼神儿！，全程鼠标操控，丝般顺滑，就是不能玩的时间太长，太累眼睛。。。,4.69,['https://favicon-pong.glitch.me/'],2021-10-27,",轻松好玩,favicon图标,PONG,小游戏",songslee

每天一张天文图-Astronomy Picture of the Day,来自NASA的科普网站！，同时配有专业天文学家对图片中天文现象的解读，真是实实在在的涨姿势！,4.88,['https://apod.nasa.gov/'],2021-10-25,",公益宣传,NASA,天文,科普",songslee

在线生成超炮风格LOGO-Railgun,二次元入门动漫番剧《某科学的超电磁炮》，看过的朋友请抠个1。。。，全中文界面，操作起来很开心！,4.00,['http://to-a.ru/'],2021-10-20,",千奇百怪,logo,图片生成,超炮",songslee

万花筒特效杜比音乐-Audiograph,独特的视听体验！，在杜比空间音效的加持下，为大家呈现出了完美的视听盛宴！,4.80,['https://www.audiograph.xyz/'],2021-10-18,",千奇百怪,万花筒,杜比,音乐",songslee

在线节奏音乐小游戏-Bemuse,对于音游玩家而言，下落式的节奏游戏必然不会陌生，比如狂热节拍、DJMAX以及劲乐团，玩法就是听着歌，然后在对应方块下落到对应按键所在的列上时按下那个键，因为易于上手难于精通，是个被广大音乐游戏爱好者追捧的子类型。在这款开源的网页游戏里，玩家可以得到类似的体验，，并可选择自带的音乐或者自己上传音乐。头一次玩这样的游戏也没关系，游戏里有教程可以指点迷津。,4.40,['https://bemuse.ninja/'],2021-10-13,",轻松好玩,小游戏,节奏,音乐",Zesty

多人在线游玩大富翁-Richup.io,经典的派对游戏，有些专业的桌游玩家会把它叫做强手棋，也有些老牌的PC玩家会玩过大富翁，核心也是同样的玩法。在这个在线地产大亨游戏中，如果凑不到人也没关系，游戏可以添加机器人来补全玩家人数。,4.73,['https://richup.io/'],2021-10-11,",轻松好玩,多人联机,大富翁,小游戏",Zesty

多人联机砍怪大作战-Moonlight Princess,不错的多人在线像素风格砍杀游戏，游戏里的角色身边有个白色的圆环，可以让怪物减速，随着等级的增加也能增加这个圆环的面积，带来优势，是io类游戏的祖传游戏内容。游戏整体不错但命中判断应该是基于服务端的，延迟高的话揍人会有比较强的延迟感，算是个美中不足。,3.15,['https://moonlightprincess.io/'],2021-10-06,",轻松好玩,像素,多人联机,砍怪",Zesty

