比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
851543,利物浦,史篤城,2013-08-17 19:45,1-0,7,13,伟德,1.444,4.4,8.5,66.75,21.91,11.34,96.39,1.4,4.6,10.5,69.56,21.17,9.27,97.38,0.95,0.97,1.16
851543,利物浦,史篤城,2013-08-17 19:45,1-0,7,13,威廉希尔,1.36,4.6,9.0,69.12,20.44,10.44,94.0,1.44,4.33,9,67,22.28,10.72,96.48,0.98,0.91,0.99
851543,利物浦,史篤城,2013-08-17 19:45,1-0,7,13,立博,1.44,4.2,7.5,65.15,22.34,12.51,93.82,1.44,4.2,7.5,65.15,22.34,12.51,93.82,0.98,0.88,0.83
851543,利物浦,史篤城,2013-08-17 19:45,1-0,7,13,bet 365,1.4,4.5,8.5,67.76,21.08,11.16,94.86,1.4,4.75,10,69.7,20.54,9.76,97.58,0.95,1.0,1.1
851546,新特蘭,富咸,2013-08-17 22:00,0-1,17,12,伟德,2.3,3.4,3.2,41.75,28.24,30.01,96.03,2.55,3.3,3,38.13,29.46,32.41,97.23,1.07,0.96,0.87
851546,新特蘭,富咸,2013-08-17 22:00,0-1,17,12,威廉希尔,2.2,3.3,3.3,42.86,28.57,28.57,94.29,2.6,3,2.9,36.19,31.36,32.45,94.09,1.09,0.87,0.84
851546,新特蘭,富咸,2013-08-17 22:00,0-1,17,12,立博,2.2,3.25,3.3,42.67,28.88,28.45,93.87,2.6,3,3.25,37.5,32.5,30,97.5,1.09,0.87,0.94
851546,新特蘭,富咸,2013-08-17 22:00,0-1,17,12,bet 365,2.3,3.3,3.2,41.4,28.85,29.75,95.22,2.5,3.3,3.1,39,29.55,31.45,97.5,1.05,0.96,0.9
851548,西布朗,修咸頓,2013-08-17 22:00,0-1,8,14,伟德,2.3,3.4,3.2,41.75,28.24,30.01,96.03,2.55,3.4,2.9,38.03,28.52,33.44,96.98,1.02,0.99,0.9
851548,西布朗,修咸頓,2013-08-17 22:00,0-1,8,14,威廉希尔,2.25,3.3,3.2,41.93,28.59,29.48,94.34,2.6,3,2.9,36.19,31.36,32.45,94.09,1.04,0.87,0.9
851548,西布朗,修咸頓,2013-08-17 22:00,0-1,8,14,立博,2.2,3.3,3.25,42.67,28.45,28.88,93.87,2.6,3.1,2.87,36.43,30.56,33.01,94.72,1.04,0.9,0.89
851548,西布朗,修咸頓,2013-08-17 22:00,0-1,8,14,bet 365,2.25,3.4,3.2,42.29,27.98,29.73,95.15,2.55,3.4,3,38.46,28.85,32.69,98.07,1.02,0.99,0.93
851545,諾域治,愛華頓,2013-08-17 22:00,2-2,11,6,伟德,3.2,3.4,2.3,30.01,28.24,41.75,96.03,3.6,3.25,2.25,26.97,29.88,43.15,97.09,1.08,0.94,0.92
851545,諾域治,愛華頓,2013-08-17 22:00,2-2,11,6,威廉希尔,3.2,3.3,2.25,29.48,28.59,41.93,94.34,3.3,3.1,2.3,28.58,30.42,41,94.31,0.99,0.9,0.94
851545,諾域治,愛華頓,2013-08-17 22:00,2-2,11,6,立博,3.0,3.3,2.3,31.12,28.29,40.59,93.36,3.1,3.25,2.3,30.29,28.89,40.82,93.9,0.93,0.94,0.94
