"
						水清岸绿好生态   人水和谐美画卷 	
					",——我市打好“盯判督”组合拳治理黑臭水体显成效,　　 　　如今的南宁，百里秀美邕江步移景异，18条内河水清岸绿，美不胜收。谁曾想，以前这些河流的部分支流或河段竟是遭人唾弃的“黑臭河”，据2015年普查结果，南宁市建成区有13条内河共38个河段属于黑臭水体，黑臭水体总长度99.4公里。消灭城市黑臭水体，就是要还市民水清岸绿、鱼翔浅底的景象。 　　民之所盼，政之所往。南宁市深入贯彻落实习近平生态文明思想，全力以赴在更高水平上持续推进治水、建城、为民，以打好城市黑臭水体治理攻坚战为抓手，持续改善城市水环境，不断提升城市生态宜居水平，切实让良好生态环境成为人民生活质量的增长点、展现首府良好形象的发力点。经过5年多的治水攻坚，目前原有的38个黑臭水体河段已消除黑臭，流域生态功能环境持续改善，生态系统持续优化。昔日黑臭小河沟已蜕变，风景如画，那考河、竹排江、心圩江、朝阳溪、亭子冲等内河呈现水清岸绿、鱼翔浅底的美景，一幅人与自然和谐共生的壮美画卷在壮乡首府大地上徐徐展开。 　　为了巩固黑臭水体攻坚成果，今年以来，市生态环境局按照市委、市政府的部署要求，与多部门联动配合，齐抓共管，坚决打好碧水攻坚战，制定了助力黑臭水体“长治久清三步走战略”，通过抓实“盯、判、督”措施，确保持续改善提升原有38个黑臭水体河段水质。 　　做好监督性抽测，紧盯水质变化。对建成区原有38个黑臭水体河段开展监督性抽测，2021年以来，累计开展监督性抽测20次、采集黑臭水样760份、分析数据3040个、出具监测报告20份，（下转2版）　　（上接1版）同时配合自治区生态环境厅做好每年2次的黑臭水体全点位监督性监测。通过持续的监督性抽测，密切掌握水质变化情况，为治理黑臭水体提供了精准的数据支撑。 　　做好分析研判，剖析水质波动原因。建立起水质研判机制，加强不达标河段的原因分析和整治指导，实行黑臭水体水质排名，鞭策整治持续深入；编制简报通报相关部门及项目公司，2021年以来编制简报17份、报送专题报告10份，为治理黑臭水体提供科学的决策依据。 　　做好监管执法，削减入河污染源。加强内河入河排污口、畜禽养殖场、“小散乱污”等的执法检查，2021年以来共出动1527人次，对全市内河流域范围开展执法检查，重拳整治涉水违法行为，共下发整改32份、立案12件、处罚金额293.1759万元，为治理黑臭水体提供坚实的监管抓手。 　　在南宁市建成区黑臭水体治理中，那考河治理项目荣获“中国人居环境范例奖”。自2017年以来，生态修复的“那考河经验”在南宁市落地开花，内河14个全流域治理工程控源截污主体工程已全部完成，逐渐呈现“水清岸绿”效果。其中，沙江河的建设继承了那考河项目建设经验并因地制宜，建成广西首座全地埋式再生水厂，实现了更大的绿化面积、更清澈的水体效果。竹排江黑臭水体系统治理、南宁市黑臭水体治理经验分别在2020年和2021年先后入选生态环境部通报表扬典型案例。近期，自治区生态环境厅对广西城市黑臭水体2021年第二季度监测结果显示，我市38个原有黑臭水体监测达标率达97.1%，水质稳步提升，初步实现长治久清。 　　践行绿色发展理念，生态优势金不换。南宁市继续深入学习贯彻落实习近平总书记“七一”重要讲话精神、“4·27”重要讲话精神和对广西工作的系列重要讲话要求，强化生态环境监测和执法管理服务，巩固提升整治成果，促进水清岸绿、人水和谐，切实增强人民群众对良好生态环境的获得感、幸福感、安全感。 　　本报记者杨盛 通讯员杨玉静
"
						市委常委会召开会议 	
					",学习贯彻习近平总书记在中共中央政治局第三十四次集体学习时的重要讲话精神   王小东主持并讲话,　　 　　（记者刘复）11月9日，市委常委会召开会议，学习贯彻习近平总书记在中共中央政治局第三十四次集体学习时的重要讲话精神和习近平总书记近期重要讲话、重要指示精神，研究部署有关工作。自治区党委常委、市委书记王小东主持会议并讲话。 　　会议强调，要深入学习贯彻习近平总书记在中共中央政治局第三十四次集体学习时的重要讲话精神，进一步增强“四个意识”、坚定“四个自信”、做到“两个维护”，切实推动党中央和自治区党委决策部署在南宁得到不折不扣贯彻落实。要贯彻落实习近平总书记关于数字经济发展的重要论述，更加重视推动数字经济健康发展，着力打造数字丝路枢纽、面向东盟的新型智慧城市样板、区域性数字经济高地。要加强数字基础设施建设，大力推进以5G为引领的通信基础设施建设，抓好算力基础设施建设，扎实推进大型数据中心集聚区建设。要加快数字经济产业发展，推动电子信息制造业发展，推动构建“大湾区—南宁—东盟”等跨境产业链供应链价值链；做强软件和信息技术服务业，加快中国—东盟数字经济产业园、中国—东盟地理信息与卫星应用产业园等建设；推动工业、服务业、农业数字化，以数字经济发展更好推动传统产业转型升级。要深度参与数字丝绸之路建设，加快建设中国—东盟信息港南宁核心基地，加强与东盟的数字经济合作交流，加快中国—东盟跨境电商发展，在建设面向东盟的数字丝绸之路中贡献南宁力量。 　　会议强调，要深入学习贯彻习近平总书记在深入推动黄河流域生态保护和高质量发展座谈会上的重要讲话精神、在参观国家“十三五”科技创新成就展时的重要指示精神，完整、准确、全面贯彻新发展理念，结合南宁生态建设和科技创新的实际，加快研究出台务实管用的举措。要在更高水平上持续推进治水、建城、为民，坚决落实“以水定城、以水定地、以水定人、以水定产”原则，深入打好污染防治攻坚战，筑牢防灾减灾防线，协同推进碳达峰、碳中和行动，着力确保煤炭和电力供应稳定，保障好经济社会运行，加快打造生态宜居城市典范。要强化创新驱动发展，推动以科技创新为核心的全面创新，大力实施科技强市，提升产业科技创新能力，打造区域协同创新平台，推进“科创中国”试点城市建设，打造面向东盟的区域性国际人才高地。 　　会议还研究了其他事项。
"
						营造风清气正育人环境   促进中小学生身心健康 	
					", ,　　不忘立德树人初心，牢记为党育人为国育才使命。我市教育系统以校内安全管理、净化校园周边文化环境为“经”，以实施师德师风建设工程为“纬”，营造风清气正育人环境，促进中小学生健康成长。 　　 　　11月14日，南宁市凤翔路小学“护学岗”志愿者及时拉住一名急忙过马路的小女孩，避免事故的发生。凤翔路小学“护学岗”集结了学校保安员、教职工、家长志愿者，以及治保会、治安积极分子、政法综治网格员等群防群治力量，选择上下学等重点时段在校门口和周边维持交通秩序，及时发现危害师生安全的隐患问题。 　　市教育局加强部署安排，压实责任，从政府、部门、学校、社会、家庭、学生自身等方面全方位构筑防护体系，强化校园安全管理，全面加紧部署落实校园安全工作，印发《全市中小学幼儿园安全防范专项行动实施方案》，组成工作专班，全面落实落细校园安全工作措施，组织开展全市学校安全隐患排查整治，各县区、开发区和学校逐级开展自查和整改调处工作，加强专职保安员配备、管理和培训，并结合实际在校园内增加一键报警点，保障学校突发事件应急处置能力。 　　同时，在抓好安全防范应急演练和安全防范上下功夫，教育、公安部门联合举办2021年南宁市校园反暴恐应急处置演练现场观摩活动，并落实中小学每月、幼儿园每季度一次安全疏散演练，实地检验我市平安智慧校园“4+N”设施设备，尤其是一键报警警校联动应急处置情况。 　　落实“护学岗”职责，发挥联防作用，教育、公安、政法等部门持续开展中小学幼儿园“护校安园”专项行动，强化上下学时段校园周边“高峰勤务”和“护学岗”机制。目前，全市中小学校幼儿园的“护学岗”工作全部落实。 　　 　　市教育局协同配合有关部门，切实筑牢守护精神家园的防线，呵护青少年健康成长，营造绿色、健康、文明、和谐的校园周边文化环境， 　　积极配合政法、公安等部门持续开展“护校安园”专项行动，加强校园保安审查管理，督促学校、保安物业公司及时整改“三防”建设中存在的不足和问题。充分运用科技信息化手段，整合公安大数据和社会大数据，健全校园安全预警机制，建立预警模型，及时发现预警信息。 　　配合政法、公安等部门加强校园周边治安综合治理，加强学校及周边肇事肇祸精神病人、“黄赌毒”、涉校矛盾纠纷调查化解、治安防护等管控工作，加大涉校案件侦办力度，严厉打击涉校涉生违法犯罪。 　　配合公安、市场监管、城管、交通、文广旅等部门加紧清理整顿校园周边流动商贩、饮食摊点等，依法取缔校园周边的违法违规娱乐场所，营造良好的上下学氛围，进一步净化校园周边环境。 　　 　　近日，南宁八中在相思湖校区举行“书记引航担使命凝心聚力强教育”主题专项活动暨集体廉政谈话会议，通过失德案例，（下转2版）　　（上接1版）告诫教职工要以此为戒，深化师德师风建设，增强教师廉洁从教的自觉性，做到以德立身、以德立学、以德施教、以德育德。现场，全体教职工填写教师负面清单自查表和相关承诺书，向学校党委书记庄严递交。这是市教育局实施师德师风建设工程、提高教师职业道德素养的一个缩影。 　　南宁市健全师德建设长效机制，推动师德建设常态化、长效化，大力宣传优秀教师先进事迹，挖掘树立师德典型，弘扬师德楷模，营造尊师重教的浓厚氛围，引导广大教师争做新时代“四有”好教师，全心全意做学生锤炼品格、学习知识、创新思维、奉献祖国的引路人。 　　今年，市教育局在全市教育系统全面开展系列学习活动，提高广大教师的职业道德水平，牢固树立依法治教意识，规范职业行为；组建“南宁市中小学师德巡回大讲堂”市级、县级和直属学校巡讲团，开展“师德巡回宣讲活动”，传播教育正能量；开展了为期9个月的中小学有偿补课和教师违规收受礼品礼金问题专项整治工作，还开展了“廉洁从教三个一活动”，开展“万名教师访万家”活动。 　　如今，我市教育系统的教师们以高度的政治责任感和历史使命感，坚决执行党的教育方针，全面落实“立德树人”根本任务，恪尽职守、爱岗敬业、无私奉献，真抓实干兴教育，推动高质量发展。　（莫俊 农业吉）
"
						我市举行轨道交通5号线运营突发事件综合应急演练 	
					", ,　　（记者杨玲）11月9日，我市举行轨道交通5号线运营突发事件综合应急演练，检验南宁轨道交通集团与市政府相关部门应对轨道交通运营突发事件综合应急救援处置能力，确保今年实现5号线顺利开通初期运营。 　　本次演练现场指挥部设置在5号线金桥客运站，模拟发生车站及隧道区间水淹、车站公共区备品间火灾、车站IV级大面积停电、区间人员疏散、公交接驳等场景。 　　9时30分，演练开始。在南宁市气象台发布暴雨红色预警信息的模拟背景下，金桥客运站因站外雨势较大导致积水即将漫进B出入口，主任调度立即启动运营分公司防洪防涝Ⅰ级响应，行调指令关闭该出入口，现场指挥长安排人员设置防洪挡板，穿戴防护用品、携带工具打开出入口附近的市政污水井进行排水，并对市政污水井用铁马设置防护，（下转2版）　　（上接1版）使用沙袋压住铁马，防止快速上涨的积水涌进车站。 　　同时，一辆5号线列车在从金桥客运站开往降桥站的区间运行时，司机发现线路积水，并已漫过轨面，水位持续上涨，列车迫停积水区域。行调和司机确认现场情况后，将信息通报控制中心各调度，并对线路列车扣车。主任调度指令金桥客运站协助组织区间疏散，指令各生产调度派出抢险队伍赶赴现场，经分管领导同意后，立即电话请求启动公交接驳。当救援人员到达事故现场，有序引导乘客疏散时，险情再次发生。 　　因积水上涨过快，车厢门无法打开，10名乘客被困，其中2名轻伤、1名重伤；车站备品间突发火灾、火势无法控制，有2人被困备品间内；车站突发大面积停电故障，导致站内所有400V设备失电，现场情况十分危急。经各单位协同配合，至上午11时许，事故现场险情解除，人员出清完毕，设备故障修复，控制中心发布全线恢复正常运营信息。 　　此次演练有效检验了南宁市轨道交通应急预案的有效性和可行性，反映了轨道交通与公交的应急接驳水平以及道路交通、应急部门应急联动水平，为南宁轨道交通5号线的安全、稳定、有序开通初期运营提供了有力保障。
"
						东风汽车集团有限公司调研组来邕调研乡村振兴工作 	
					", ,　　（记者阮晓莹）11月9日，东风汽车集团有限公司总经理、党委副书记杨青一行到我市马山县就乡村振兴工作开展调研，市委副书记杨维超，市委常委、副市长杨鸿陪同调研。 　　杨青一行到马山县白山镇立星村村委听取了企业定点帮扶工作情况汇报，举行了消费帮扶合作签约仪式。在立星小学参观了援建项目改建进展和学校素质教育设施提升情况，并为东风日产阳光关爱小学揭牌。东风公司定点帮扶马山县以来，建成东风路、东风桥、东风连心桥、东风文化广场、东风电白幼儿园等一批项目，有效改善提升当地基础设施和公共服务设施水平。同时，在立星村按照“一入二扶三变”的思路，牵头成立一批专业农民合作社，引导贫困户通过入股、务工、土地流转和分红实现稳定增收，2020年立星村村级集体经济突破60万元。 　　随后，杨青一行对东风公司帮扶项目进行了实地走访和调研。调研组先后到立星村金天地公司、立星村产业发展中心项目（东风楼）、东风扶贫基地（华锐公司）等项目现场，详细了解项目的规划设计、建设进展、实施成效等情况，并举行了东风帮扶千禧番茄基地揭牌仪式、立星村产业发展中心项目（东风楼）开工仪式。 　　杨青表示，东风公司将着力推动巩固拓展脱贫攻坚成果同乡村振兴有效衔接，确保派出干部力度不减、帮扶资金力度不减、消费帮扶力度不减，加强已建在建项目管理，确保项目有效运行。进一步完善乡村振兴工作体系，强化创新帮扶路径，推进产业帮扶创新、消费帮扶创新、民生帮扶创新，全面助力乡村振兴。 　　杨维超对东风公司给予的倾力支持和倾情帮扶表示衷心感谢，他表示，南宁市将主动加强与中央企业的沟通对接，齐心协力把企业帮扶工作推上新水平，全力推动南宁市乡村振兴工作。
"
						习近平同黎巴嫩总统奥恩互致贺电 	
					", ,　　　11月9日，国家主席习近平同黎巴嫩总统米歇尔·奥恩互致贺电，庆祝两国建交50周年。 　　习近平在贺电中指出，中黎建交以来，两国关系稳步发展。中黎各领域合作日益深入，在涉及彼此核心利益和重大关切问题上相互理解、相互支持，树立了大小国家平等相待、互利共赢的典范。我高度重视中黎关系发展，愿同奥恩总统一道努力，以两国建交50周年为契机，巩固双方政治互信，深化务实合作，推动中黎友好合作关系迈上新台阶。中方将继续为黎方抗击疫情、发展经济、改善民生提供帮助和支持。 　　奥恩在贺电中表示，黎中建交50年来，两国在政治、经济和文化等各领域开展了建设性合作。黎方感谢中方支持黎巴嫩主权、独立和领土完整，支持黎巴嫩的正义事业，支持黎方抗击新冠肺炎疫情。黎方珍视对华关系，高度评价中国发展成就，期待进一步加强黎中合作，造福两国人民。
"
						物流企业线上“取经”谋共赢 	
					", ,　　（记者胡光磊）11月9日，2021年第八届南宁物流周开幕。活动采用线上线下相结合的方式举办，通过开展名家讲坛、企业论坛、院校物流大讲堂等活动，为南宁物流行业提供学习和交流平台，促进南宁物流企业做大做强，推动实现多方共赢。 　　本届物流周以“同心同行物流共赢”为主题。在开幕当天的名家讲坛及物流沙龙环节，采取物流名家录播视频与现场物流企业探讨穿插开展的形式进行。专家从物流平台业务税务风险识别、国家物流枢纽运营模式研究、新时代双循环战略推动城乡配送体系变革、数字金融+物流助力乡村振兴等多方面进行分享；企业家代表则结合我市现状谈如何构建城乡配送体系、物流行业如何从困境中突围，为现场听众及线上观众拓宽新视野，启发新思维。 　　开幕式上，我市2020年新增的8家3A级以上物流企业接受嘉奖。2016年起，南宁市鼓励物流企业参加国家等级物流企业评估，通过对首次获评3A级以上的物流企业给予一次性奖励。目前，全市3A级以上物流企业达46家，其中5A级物流企业7家、4A级物流企业14家、3A级物流企业25家。 　　今年以来，南宁市实施一系列政策，推动全市物流营商环境进一步优化。在物流基础设施建设方面，自“物流网”三年大会战2020年启动以来，累计完成投资近150亿元，（下转2版）　　（上接1版）中新南宁国际物流园新中智慧园、南宁国际铁路港海关监管作业场所、京东“亚洲一号”南宁兴宁产业园、万纬南宁金海物流园（一期）等一大批重点项目建成并投入运营。在国际物流大通道建设方面，我市在原有胡志明全货机航线、马尼拉“客改货”航线的基础上，今年促成新开通南宁—达卡、南宁—曼谷、南宁—吉隆坡、南宁—新加坡、南宁—加德满都5条国际货运航线，并加密胡志明、马尼拉等航点的国际货运航线。截至目前，南宁吴圩国际机场在飞国际货运航线数量达8条。 　　南宁市将提供一流的服务，促进商贸业、制造业与物流业协同发展，帮助物流企业提升通道竞争力、做大物流规模、促进现代物流业与相关产业联动发展，充分发挥“南宁渠道”独特优势，深度融入“一带一路”建设，推动国际物流合作和交流，打造国际物流大通道，推动南宁经济高质量发展。
"
						织牢治安防控网   让城市“警”色更美 	
					", ,　　群众安全感是反映社会治安状况和群众生活安定程度的标志，一座城市的社会治安情况，能折射出这座城市的文明程度。 　　作为社会治安综合整治工作的主力军，南宁公安冲锋在前，始终以维护首府南宁长治久安为己任和第一要务。日前，记者就南宁市在争创全国文明典范城市过程中，南宁公安如何加强公共安全保障和我市社会治安的话题，采访了南宁市公安局治安支队副支队长赖崇军和南宁市公安局治安支队六大队大队长蒙贵民。 　　 　　目前，我市正在持续推进社会治安巡逻防控机制改革，也落实了很多改革新举措，这些新举措的推行，取得了哪些成效？ 　　蒙贵民说：“我市公安机关2018年8月启动新一轮社会治安巡逻防控机制改革以来，通过建设一套有力有效的巡防工作机制，配备2000余人的专兼巡逻力量，优化182个巡防区域布局，推进‘一张图显示，实时可视化指挥’智慧巡防信息化建设，建设28个融合巡防力量‘屯兵点’、反恐处突‘桥头堡’、服务群众‘便利店’、警民共治‘共同体’等功能的多位一体街面警务站，构建成符合南宁实际的立体化、智能化新型社会治安巡逻防控体系，全面提升了我市应急处突能力和社会面管控能力，实现街面多发性侵财警情连年大幅度下降的良好局面。” 　　随着社会的不断发展，社会治安工作面临着哪些新的形势和新的挑战？针对这些新的挑战，如何把社会治安防控网织得更密更牢？ 　　赖崇军说：“针对新型违法犯罪，我市公安机关加快落实‘圈层查控、单元防控、要素管控’措施，重点做好街面巡防、智慧安防小区、特种行业、危爆物品、公交地铁等公共安全管控和医院、校园等要害单位安保工作，不断提高首府南宁市域治理现代化水平，确保人民群众安居乐业。” 　　 　　进入信息化时代，公安领域已经开始使用科技的力量来帮助警务人员更好地维护社会治安。随着警务模式升级，“天网”“地网”工程的建成，防范打击违法犯罪更有力，南宁市在“智慧警务”这一块有什么新的变化和突破？ 　　“‘智慧警务’是首府公安机关一直努力打造的靓丽名片。”赖崇军说，“依托公安大数据赋能实战，防范和破案更精准、更高效；通过‘互联网+民生服务’平台24小时在线服务群众，利民便民成效更显著。目前，在《保安员证》、印章备案、户政办理、出入境证件、交警车管等我市公安机关‘放管服’改革领域，均已实现办事群众只跑一次甚至足不出户就把事情办好。” 　　针对一些流动人口密集的突出治安混乱区域，我市在打击违法犯罪行为方面又有哪些举措？ 　　蒙贵民说：“针对电诈、传销、吸毒等治安顽疾问题，南宁警方先后开展社会治安综合整治‘风云行动’、打击传销‘清源行动’和‘绿城反诈·断卡行动’、‘邕江1、2、3号’禁毒行动等一系列社会治安整治专项行动，破获一批‘黄赌毒’、电诈、传销、酒驾案件，抓获一大批违法犯罪嫌疑人，有效净化了首府南宁社会治安环境，人民群众获得感、安全感更加真切。” 　　 　　近年来，南宁市公安局发动和组织群防群治力量参与巡防，提升了群众的安全感。南宁警方是如何做到巡防力量下沉到各个小区里，实现与群众一起共管共治，以提高巡防效果的？ 　　赖崇军表示，我市各级公安机关牢固树立“一切为了群众，一切依靠群众”的群众意识，深入开展“百万警进千万家”活动，宣传群众、发动群众、组织群众，不断深化群防群治工作机制。“通过入户走访、张贴海报、发放传单、自媒体发动等宣传方式，推出‘邕城义警’群防群治APP，有效发动、有力组织治保会、调解委员会、护村队、网格员、物业、保安及热心群众加入群防群治队伍。” 　　针对当前群众关注的校园安全问题，市公安局在此方面又有哪些举措？ 　　蒙贵民说：“我市公安机关不断健全完善‘护校安园’机制，重点建立校园安防建设、重点人员管控、校园周边环境整治、校园消防安全整治、校园安全教育等安全保护机制；积极会同教育部门推动校园封闭式管理、专职保安员配备、一键式报警和视频监控建设、‘护学岗’设置工作的落实；净化校园周边治安环境，维护学校教书育人净土，加强涉校矛盾纠纷排查化解等，为校园安全打造‘铜墙铁壁’。”本报记者韦峭
"
						宣讲用气知识    提高安全意识 	
					", , 　　照明灯不要靠近燃气管道；燃气管道垫片老化也会造成燃气泄漏……昨日，南宁市住房和城乡建设局联合南宁中燃走进南宁市晋江福源食品有限公司，开展燃气安全进企业宣传主题活动，通过培训、现场检测等方式，宣讲安全用气知识，提高企业用气安全意识。 　　培训中，南宁中燃的专家针对企业日常使用及维护管理进行深入浅出的剖析，同时通过一个个典型事故案例警示职工提升安全生产意识。培训结束后，培训专家还特别给企业职工留下了“作业”，并向员工现场发放燃气安全宣传资料，以便员工回家后还可以对照资料好好复习功课，增长用气安全知识。 　　工商业用户室内燃气管道通常是钢管，包封、暗埋极易造成燃气管道生锈、漏气，给燃气设施检查、维修带来不便；一旦发生漏气不易被觉察，且容易聚集，引发火灾、爆炸事故发生。在当天活动中，南宁市住房和城乡建设局的工作人员和南宁中燃还组织了一次现场检测，为企业员工补上了用气安全知识。 　　现场检测中，南宁中燃的检测员手持激光检测仪，对管道连接处挨个检查，仪器显示数值为0，表明没有漏气。“管道接口之间连接的橡胶垫片很重要，一旦老化就会泄漏燃气。”检查人员表示，在日常检查中，漏气是主要的问题，所以管道接口是燃气安全检查的重点区域。 　　“我们公司是燃气消费大户，一直以来都对安全用气工作非常重视。借助南宁市燃气安全及节约用气主题宣传周活动契机，公司特别组织了180多名职工，请南宁中燃的燃气专家进行了安全知识培训。”公司相关负责人表示，该公司已经通过安全三级认证，但还要继续加大燃气安全巡查力度，确保安全用气万无一失。 　　专家提醒，随着天气转冷，逐渐进入燃气使用高峰期。燃气管道因为热胀冷缩会造成一些接近老化的橡胶垫片松动，影响阀门的气密性，容易引发燃气泄漏，造成事故。在进一步加大日常巡查力度的同时，用气企业还应再细化用气制度，要有专人对设备进行管理，定期保养维护，有问题要及时与南宁中燃沟通，确保安全隐患及时整改清零，保证安全平稳用气。 　　（康钦如 王露锦 文/图）
"
						水清岸绿好生态   人水和谐美画卷 	
					",——我市打好“盯判督”组合拳治理黑臭水体显成效,　　 　　如今的南宁，百里秀美邕江步移景异，18条内河水清岸绿，美不胜收。谁曾想，以前这些河流的部分支流或河段竟是遭人唾弃的“黑臭河”，据2015年普查结果，南宁市建成区有13条内河共38个河段属于黑臭水体，黑臭水体总长度99.4公里。消灭城市黑臭水体，就是要还市民水清岸绿、鱼翔浅底的景象。 　　民之所盼，政之所往。南宁市深入贯彻落实习近平生态文明思想，全力以赴在更高水平上持续推进治水、建城、为民，以打好城市黑臭水体治理攻坚战为抓手，持续改善城市水环境，不断提升城市生态宜居水平，切实让良好生态环境成为人民生活质量的增长点、展现首府良好形象的发力点。经过5年多的治水攻坚，目前原有的38个黑臭水体河段已消除黑臭，流域生态功能环境持续改善，生态系统持续优化。昔日黑臭小河沟已蜕变，风景如画，那考河、竹排江、心圩江、朝阳溪、亭子冲等内河呈现水清岸绿、鱼翔浅底的美景，一幅人与自然和谐共生的壮美画卷在壮乡首府大地上徐徐展开。 　　为了巩固黑臭水体攻坚成果，今年以来，市生态环境局按照市委、市政府的部署要求，与多部门联动配合，齐抓共管，坚决打好碧水攻坚战，制定了助力黑臭水体“长治久清三步走战略”，通过抓实“盯、判、督”措施，确保持续改善提升原有38个黑臭水体河段水质。 　　做好监督性抽测，紧盯水质变化。对建成区原有38个黑臭水体河段开展监督性抽测，2021年以来，累计开展监督性抽测20次、采集黑臭水样760份、分析数据3040个、出具监测报告20份，（下转2版）　　（上接1版）同时配合自治区生态环境厅做好每年2次的黑臭水体全点位监督性监测。通过持续的监督性抽测，密切掌握水质变化情况，为治理黑臭水体提供了精准的数据支撑。 　　做好分析研判，剖析水质波动原因。建立起水质研判机制，加强不达标河段的原因分析和整治指导，实行黑臭水体水质排名，鞭策整治持续深入；编制简报通报相关部门及项目公司，2021年以来编制简报17份、报送专题报告10份，为治理黑臭水体提供科学的决策依据。 　　做好监管执法，削减入河污染源。加强内河入河排污口、畜禽养殖场、“小散乱污”等的执法检查，2021年以来共出动1527人次，对全市内河流域范围开展执法检查，重拳整治涉水违法行为，共下发整改32份、立案12件、处罚金额293.1759万元，为治理黑臭水体提供坚实的监管抓手。 　　在南宁市建成区黑臭水体治理中，那考河治理项目荣获“中国人居环境范例奖”。自2017年以来，生态修复的“那考河经验”在南宁市落地开花，内河14个全流域治理工程控源截污主体工程已全部完成，逐渐呈现“水清岸绿”效果。其中，沙江河的建设继承了那考河项目建设经验并因地制宜，建成广西首座全地埋式再生水厂，实现了更大的绿化面积、更清澈的水体效果。竹排江黑臭水体系统治理、南宁市黑臭水体治理经验分别在2020年和2021年先后入选生态环境部通报表扬典型案例。近期，自治区生态环境厅对广西城市黑臭水体2021年第二季度监测结果显示，我市38个原有黑臭水体监测达标率达97.1%，水质稳步提升，初步实现长治久清。 　　践行绿色发展理念，生态优势金不换。南宁市继续深入学习贯彻落实习近平总书记“七一”重要讲话精神、“4·27”重要讲话精神和对广西工作的系列重要讲话要求，强化生态环境监测和执法管理服务，巩固提升整治成果，促进水清岸绿、人水和谐，切实增强人民群众对良好生态环境的获得感、幸福感、安全感。 　　本报记者杨盛 通讯员杨玉静
