 classify,name,comment,star,price,address,commentlist,quality,environment,service
美食,望蓉城老坛酸菜鱼(合生汇店),0,该商户暂无星级,125,翔殷路1099号合生汇5F,8.3 8.4 8.5,8.3,8.4,8.5
美食,泰国街边料理,740,准四星商户,48,黄兴路合生汇B2美食集市内,7.4 7.6 7.4,7.4,7.6,7.4
美食,壹面如故(苏宁生活广场店),2650,准四星商户,21,邯郸路585号苏宁生活广场B1层,7.0 7.2 7.2,7.0,7.2,7.2
美食,鮨谷•Aburiya(合生汇店),27480,准五星商户,142,翔殷路1099号合生广场5楼23、28铺位,8.9 8.5 8.4,8.9,8.5,8.4
美食,我们的烤肉我们的馕,50,准四星商户,0,邯郸路399-D3号,7.5 6.8 7.5,7.5,6.8,7.5
美食,麦当劳(万达店),7850,准四星商户,24,邯郸路600号万达商业广场B1楼A05号铺,7.4 7.2 7.2,7.4,7.2,7.2
美食,蒸年青STEAMYOUNG(百联又一城购物中心店),37790,准五星商户,70,淞沪路8号百联又一城购物中心7层,8.6 8.6 8.6,8.6,8.6,8.6
美食,丸来玩趣(百联又一城购物中心店),4580,准四星商户,14,淞沪路8号百联又一城购物中心B1层,7.0 6.5 6.5,7.0,6.5,6.5
美食,韩国雪冰(合生汇店),12800,四星商户,47,翔殷路1099号合生汇4F,7.7 7.5 7.6,7.7,7.5,7.6
美食,小菜园新徽菜(五角场万达广场店),850,准五星商户,81,邯郸路600号万达商业广场特力时尚汇3层,8.5 8.9 9.0,8.5,8.9,9.0
美食,生日聚汇(杨浦店),20,准四星商户,0,淞沪路8号百联又一城6楼,7.0 7.0 7.0,7.0,7.0,7.0
美食,阿满鸡排(合生汇店),300,四星商户,17,翔殷路1099号合生汇4层,7.9 8.0 7.7,7.9,8.0,7.7
美食,莆田餐厅(百联又一城购物中心店),9880,四星商户,150,淞沪路8号百联又一城购物中心7层,8.0 8.4 8.0,8.0,8.4,8.0
美食,旬彩(百联又一城购物中心店),1520,准四星商户,16,淞沪路8号百联又一城购物中心B1层,7.2 7.1 7.2,7.2,7.1,7.2
美食,吴茂兴本帮面(五角场店),720,准四星商户,21,政旦东路34号,7.4 7.4 7.6,7.4,7.4,7.6
美食,雀舞云南菜(合生汇店),36270,四星商户,99,翔殷路1099号合生汇5F,8.0 8.5 8.6,8.0,8.5,8.6
美食,开心膳(joyeusesalade悦沙拉五角场店),40,准四星商户,0,邯郸路600号四楼D-001,7.4 7.4 7.4,7.4,7.4,7.4
美食,阳光客(城市集市合生汇店),3360,准四星商户,79,黄兴路2228号合生汇B2层城市集市C8商户,7.1 7.6 7.7,7.1,7.6,7.7
美食,越打星YuetDaSing(合生汇店),2640,四星商户,48,翔殷路1099号合生汇B2城市集市C9,8.0 7.7 7.8,8.0,7.7,7.8
美食,鲜榨果汁JuiceBar(巴黎春天五角场店),40,三星商户,0,淞沪路1号巴黎春天B1层,6.8 6.8 6.9,6.8,6.8,6.9
美食,MAKAMAKA玛卡玛卡滋蛋仔(五角场店),670,四星商户,26,邯郸路399号D15-1号,8.2 8.4 8.4,8.2,8.4,8.4
美食,城市集市(合生汇店),2260,准五星商户,47,黄兴路2228号合生汇B2层城市集市,8.4 8.5 8.2,8.4,8.5,8.2
美食,甜蜜食堂(杨浦店),20,准四星商户,0,淞沪路100号,7.2 7.2 7.2,7.2,7.2,7.2
美食,许留山(合生汇店),3750,三星商户,35,翔殷路1099号合生汇4F,6.9 7.2 6.5,6.9,7.2,6.5
美食,汉蒸坊蒸汽海鲜主题餐厅(合生汇店),8300,四星商户,165,翔殷路1099号合生汇5F,7.9 7.7 7.9,7.9,7.7,7.9
美食,千里香馄饨面,150,准四星商户,14,国定路125号,7.2 7.1 7.1,7.2,7.1,7.1
美食,REGENCYCLUB,10,准四星商户,0,国定东路86号,7.6 7.2 7.6,7.6,7.2,7.6
美食,星巴克(又一城店),11130,四星商户,36,淞沪路8号,7.6 7.4 7.4,7.6,7.4,7.4
美食,TEPPANYAKIXIANG,0,准四星商户,0,淞沪路77号特力时尚汇F4,6.5 6.9 6.9,6.5,6.9,6.9
美食,百武西茶饮(合生汇店),330,准四星商户,18,翔殷路1099号合生汇4层,6.9 7.2 7.1,6.9,7.2,7.1
美食,烧腊馆,30,准四星商户,0,邯郸路600号万达商业广场第一食品2楼,6.9 7.0 6.9,6.9,7.0,6.9
美食,夏の心情,20,准四星商户,0,淞沪路8号3层,6.9 6.9 6.9,6.9,6.9,6.9
休闲娱乐,梦想空间DreamSpace影吧(五角场店),9570,五星商户,106,政旦东路36号4楼国济路口,9.3 9.2 9.1,9.3,9.2,9.1
美食,ijuice果之满满(特力时尚汇店),70,三星商户,0,邯郸路600号万达商业广场特力时尚汇1层,6.8 6.8 6.7,6.8,6.8,6.7
